Item,Code,Name,Street 1,Street 2,City,State,Zip Code,Phone,Extension,Fax,Contact,Plan Name,Type,Procedure Code Set,Diagnosis Code Set,Signature on File,Delay Secondary Billing,Default Billing Method,PrimaryEDIRcvr,PrimaryClaimsPayerID,EMC Extra 1,EMC Extra 2,ETS Record Code,Default Payment Code,Default Write Off Code,Default Withhold Code,Default Deductible Code,Indicator,Print PINs on Ins Form,User Code,Date Created,Physician Signature on File,Insured Signature on File,Carrier ID number,PrimaryNationalPlanID,Date Modified,Inactive,IOD,EMC Max Transactions,Default Take Back Code,Insurance Class,Complimentary_Crossover,EVPayerID,PrimaryEligibilityPayerID,PayerType,Default Billing Method 2,Default Billing Method 3,SecondaryEDIRcvr,SecondaryClaimsPayerID,SecondaryEligibilityPayerID,SecondaryNationalPlanID,SendOrderingProvider,SendPracticeTaxonomy,Note,Icd 10 Effective Date
11,CON00,CONTINENTAL BENEFITS,P.O. BOX  3610,,BRANDON,FL,33509,(877)866-4843,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,35245,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,11/03/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:06 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
12,DRI00,DRISCOLL,P.O. BOX 3668,,CORPUS CHRISTI,TX,78463-3668,(877)324-3627,,,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,74284,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,08/22/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:06 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION CLAIMS DEPARTMENT,10/01/yyyy
13,EASTE,EASTER SEALS,P O BOX 211005,,EAGEN,MN,55121,(855)508-5741,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,PAS01,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/16/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:06 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
14,ENT00,ENTRUST,P.O BOX 211348,,EAGAN,MS,55121,(844)632-7878,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,36678,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,JAVG,06/06/yyyy,Signature on file,Signature on file,,,07/07/yyyy 10:59 a.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Electronic,CLA00,,,,FALSO,FALSO,NO NETWORK REQUIRED,10/01/yyyy
15,FRA00,FRATES BENEFITS ADMINISTRATORS,P O BOX 269001,,OKLAHOMA CITY,OK,73126-9001,(800)850-7166,,,,,Commercial Ins,2,3,Signature on file,FALSO,Paper,CLA00,,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,12/29/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:07 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,CLA00,,,,FALSO,FALSO,,10/01/yyyy
16,GPA00,GPA,P O BOX 749075,,DALLAS,TX,75374,(800)827-7223,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,48143,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,11/04/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:07 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Electronic,CLA00,,,,FALSO,FALSO,,10/01/yyyy
17,HEA00,HEALTH PARTNERS,P O BOX 1289,,MINNEAPOLIS,MN,55440-1309,(800)883-2177,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,SX009,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,08/31/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:07 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
18,HEA01,HEALTH COST SOLUTIONS,P O BOX 1439,,HENDERSONVILLE,TN,37077,(800)526-3919,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,62111,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/09/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:07 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
19,HUM00,HUMANA,P O BOX 14601,,LEXINGTON,KY,40512-4601,(866)427-7478,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,61101,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,MO,08/29/yyyy,Signature on file,Signature on file,,,06/29/yyyy 9:04 a.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
20,MED00,NOVITUS SOLUTIONS,P.O. BOX 3108,,MECHANICSBURG,PA,17055-1824,(855)252-8782,,,,MEDICARE,Medicare,2,3,Signature on file,FALSO,Electronic,CLA00,04402,,,,PMTCARE,ADJCARE,WOCARE,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:07 p.m.,FALSO,,0,TACKBACK,GRP,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTN: PLAN B CLAIMS DEPARTMENT,10/01/yyyy
21,MED01,TMHP,P.O. BOX 20055,,AUSTIN,TX,78720-0555,(800)925-9126,,,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,86916,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:07 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Paper,CLA00,,,,FALSO,FALSO,ATTENTION CLAIMS DEPARTMENT,10/01/yyyy
22,MED02,MEDICA,P O BOX 30990,,SALT LAKE CITY,UT,84130,(800)458-5512,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,94265,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,12/16/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:08 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,CLA00,,,,FALSO,FALSO,,10/01/yyyy
23,MER00,MERITAIN HEALTH,P O BOX 853921,,RICHARDSON,TX,75085,(800)925-2272,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,41124,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,11/23/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:08 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
24,MOL00,MOLINA MCAID-STAR-PLUS,P.O. BOX  22719,,LONG BEACH,CA,90801-5719,(877)319-6826,,,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,20554,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:08 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION: CLAIMS DEPARTMENT,10/01/yyyy
25,MOL01,MOLINA PVT,P O BOX 22719,,LONG BEACH,CA,90801,(877)319-6826,,,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,20554,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,08/23/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:08 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
26,MOL02,MOLINA MMP,P O BOX 22811,,LONG BEACH,CA,90801,(866)856-8699,,,,,Medicare,2,3,Signature on file,FALSO,Electronic,CLA00,20554,,,,PMTCARE,ADJCARE,WOCARE,,,B,TORRES,08/30/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:14 p.m.,FALSO,,0,TACKBACK,GRP,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
27,PAI00,PAI,PO BOX 6702,,COLUMBIA,SC,29260,(866)798-0803,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,37287,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,12/30/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:14 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Electronic,CLA00,,,,FALSO,FALSO,,10/01/yyyy
28,PEN00,PENDING MED,,,,,,,,,,,Other,1,3,Leave blank,FALSO,Paper,,,,,,,,,,,B,TORRES,08/19/yyyy,Leave blank,Leave blank,,,06/21/yyyy 1:14 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
29,PHY00,PHYSICIANS MUTUAL,P O BOX 2018,,OMAHA,NE,68103,(800)228-9100,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,47027,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,03/16/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:14 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Paper,CLA00,,,,FALSO,FALSO,ATTENTION CLAIMS DEPARTMENT,10/01/yyyy
30,PRO00,PROVIDENCE,P O BOX 211005,,EAGAN,MS,55121,(855)508-5741,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,PAS01,,,,PMTCARE,ADJPRVT,WOPRVT,,,B,TORRES,08/22/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:14 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION CLAIMS DEPARTMENT,10/01/yyyy
31,PVT,PVT PAY PATIENTS,,,,,,,,,,,Other,2,3,Signature on file,FALSO,Paper,,,,,,,,,,,B,DJC,08/30/yyyy,Signature on file,Signature on file,,,09/14/yyyy 5:01 p.m.,VERDADERO,,0,,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
32,SIS00,SIS  (SPECIAL INSURANCE SERVICE),P.O. BOX 250349,,PLANO,TX,75025,(866)510-5859,,(214)291-1301,,,Other,2,3,Signature on file,FALSO,Electronic,CLA00,,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,01/31/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:14 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Paper,CLA00,,,,FALSO,FALSO,,10/01/yyyy
33,STA00,STATE FARM,P O BOX 339403,,GREELEY,CO,80633-9403,(866)855-1212,,,,,Other,2,3,Signature on file,FALSO,Paper,CLA00,,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,12/16/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:15 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
34,SUP00,SUPERIOR MMP,P O BOX 3060,,FARMINGTON,MO,63640-3882,(866)896-1844,,,,,Medicare,2,3,Signature on file,FALSO,Electronic,CLA00,68069,,,,PMTCARE,ADJCARE,WOCARE,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:15 p.m.,FALSO,,0,TACKBACK,GRP,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
35,SUP01,SUPERIOR MCAID,P O BOX 3003,,FARMINGTON,MI,63640,(800)522-8923,,,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,68069,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:15 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION: CLAIMS DEPARTMENT,10/01/yyyy
36,TRA00,TRANSAMERICA,P.O. BOX 3350,,CEDAR RAPIDS,IA,52406,(888)272-9272,,(570)969-4030,,PLAN F,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,02/08/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:15 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Paper,CLA00,,,,FALSO,FALSO,,10/01/yyyy
37,TRI00,TRICARE SOUTH REGION,,,,,,(866)773-0404,,,,,Champus,2,3,Signature on file,FALSO,Electronic,CLA00,61125,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,08/22/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:15 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
38,UHC,UHC  CONNECTED (MMP),P O BOX.31352,,SALT LAKE,UT,84131-0352,(888)887-9003,,,,,Medicare,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTCARE,ADJCARE,WOCARE,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:15 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
39,UHC00,UHC TEXAS STAR,P.O. BOX 5270,,KINGSTON,NY,12402-5270,(800)522-8923,,,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:15 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Paper,CLA00,,,,FALSO,FALSO,,10/01/yyyy
40,UHC01,UHC COMMERCIAL,P.O. BOX 740800,,ATLANTA,GA,30374-0800,(877)842-3210,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:16 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
41,UHC02,GEHA,P. O.  BOX 4665,,INDEPENDENCE,MO,64051-4665,(877)343-1887,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,39026,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,08/22/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:16 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
42,UHC03,UHC COMMUNITY PLAN STAR+PLUS,P.O. BOX 31352,,SALT LAKE,UT,84131-0352,(888)887-9003,,,,UHC COMMUNITY PLAN STAR+PLUS,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,10/08/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:16 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,CLA00,,,,FALSO,FALSO,ATTENTION: CLAIMS,10/01/yyyy
43,UHC04,UHC COMMUNITY PLAN  (CHIP),P.O. BOX 5270,,KINGSTON,NY,12402-5270,(888)887-9003,,,,UHC/CHIP,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,10/08/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:16 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,CLA00,,,,FALSO,FALSO,ATTENTION: CLAIMS DEPARTMENT,10/01/yyyy
44,UHC05,UHC (Care Improvment Plus),P O BOX 30436,,SALT LAKE CITY,UT,84130,(877)842-3210,,,,,Medicare,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTCARE,ADJCARE,WOCAID,,,B,TORRES,12/01/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:17 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,CLA00,,,,FALSO,FALSO,,10/01/yyyy
45,UHC06,UHC STAR KIDS,P.O. BOX 5290,,KINGSTON,NY,12402-5290,(888)887-9003,,,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,03/09/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:17 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Paper,CLA00,,,,FALSO,FALSO,ATTENTION CLAIMS DEPARTMENT,10/01/yyyy
46,UMR00,UMR,P.O BOX 30541,,SALT LAKE CITY,UT,84130,(877)233-1800,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,39026,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,12/08/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:17 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Electronic,CLA00,,,,FALSO,FALSO,,10/01/yyyy
47,UNI00,UNITEDHEALTHCARE COMPASS BALANCED,P.O. BOX 30555,,SALT LAKE CITY,UT,84130-0555,(877)842-3210,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,87726,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/02/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:17 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
48,UNI01,UNITED AMERICAN INSURANCE COMPANY,PO BOX 8080,,MCKINNEY,TX,75070,,,,,,Other,1,3,Leave blank,FALSO,Paper,,,,,,,,,,,B,TORRES,06/14/yyyy,Leave blank,Leave blank,,,06/21/yyyy 1:17 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
49,WEA00,WEA TRUST,P O BOX 8220,,MADISON,WI,53708,(800)279-4090,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,39151,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,01/25/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:17 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Electronic,Paper,BF000,,,,FALSO,FALSO,,10/01/yyyy
50,WEB00,WEBTPA,P O BOX 99906,,GRAPEVINE,TX,76099-9706,(866)975-4525,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,75261,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/07/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:18 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
